iter	Accuracy	MultiClass
341	0.9575289575	0.3167166154
342	0.9581009581	0.3155177273
343	0.9582439582	0.3148335541
344	0.9585299585	0.3143555374
345	0.9585299585	0.313508841
346	0.9586729587	0.3128001518
347	0.9591019591	0.3119949084
348	0.9602459602	0.310862248
349	0.9602459602	0.3105917807
350	0.9601029601	0.3098535981
351	0.9601029601	0.3094170386
352	0.9606749607	0.3091634971
353	0.960960961	0.3088196058
354	0.9612469612	0.3085753655
355	0.960960961	0.3079379773
356	0.9608179608	0.3076847773
357	0.960960961	0.3068805945
358	0.9615329615	0.3059723555
359	0.961961962	0.3054268591
360	0.9622479622	0.3048101725
361	0.9626769627	0.3038546033
362	0.9632489632	0.3030990023
363	0.9633919634	0.3024470615
364	0.9638209638	0.3018035827
365	0.9638209638	0.3014870359
366	0.9642499642	0.2999862198
367	0.9646789647	0.299579722
368	0.964964965	0.299135931
369	0.9651079651	0.298272914
370	0.9653939654	0.2968623977
371	0.9648219648	0.2953879497
372	0.9652509653	0.2947974258
373	0.9651079651	0.2944100395
374	0.965965966	0.2934384865
375	0.965965966	0.2919052829
376	0.9666809667	0.2910742794
377	0.966966967	0.2901963572
378	0.9666809667	0.2897460962
379	0.9668239668	0.2888266269
380	0.9668239668	0.2880502896
381	0.966966967	0.2876591515
382	0.9672529673	0.2871901151
383	0.9672529673	0.2867482264
384	0.9676819677	0.2861943833
385	0.9675389675	0.2854205677
386	0.9673959674	0.2848645265
387	0.9676819677	0.2837589883
388	0.9678249678	0.283201978
389	0.967967968	0.2829501577
390	0.9683969684	0.2816537204
391	0.9688259688	0.2812937796
392	0.9686829687	0.2804194015
393	0.9685399685	0.2797359486
394	0.9685399685	0.2789037083
395	0.968968969	0.2783940818
396	0.9693979694	0.2776026127
397	0.9691119691	0.2771344463
398	0.9693979694	0.2765378061
399	0.9695409695	0.2760247982
400	0.9701129701	0.2752312182
401	0.9701129701	0.2746713335
402	0.9702559703	0.2743452778
403	0.9705419705	0.273360071
404	0.9703989704	0.2727042952
405	0.9705419705	0.2722044714
406	0.9705419705	0.271565569
407	0.9705419705	0.2707296153
408	0.970970971	0.2703069984
409	0.9708279708	0.2694361641
410	0.970970971	0.2685781091
411	0.970970971	0.2674641887
412	0.970970971	0.2672405862
413	0.9712569713	0.2668499828
414	0.9713999714	0.2665316198
415	0.9715429715	0.2659286174
416	0.9713999714	0.2653775269
417	0.9718289718	0.264724087
418	0.971971972	0.2643850862
419	0.9722579723	0.2639088381
420	0.9724009724	0.263087206
421	0.9724009724	0.2628959901
422	0.9725439725	0.2621042409
423	0.9728299728	0.2615738118
424	0.972972973	0.2612931551
425	0.972972973	0.2608583341
426	0.9734019734	0.2604165702
427	0.9734019734	0.2598010368
428	0.9741169741	0.2589735282
429	0.9742599743	0.2582735898
430	0.9744029744	0.2579528981
431	0.9744029744	0.2573980079
432	0.9746889747	0.2566719487
433	0.9752609753	0.2560596174
434	0.9752609753	0.2554150177
435	0.9751179751	0.2552096067
436	0.9754039754	0.2547126383
437	0.9755469755	0.2543276084
438	0.9754039754	0.2537411843
439	0.9754039754	0.2534009731
440	0.9756899757	0.2530246237
441	0.975975976	0.2522157341
442	0.975975976	0.2517440741
443	0.9762619763	0.2511671799
444	0.9765479765	0.2509045126
445	0.9762619763	0.2504057741
446	0.9761189761	0.2500239792
447	0.9761189761	0.2497499213
448	0.9765479765	0.2493384596
449	0.9765479765	0.2489707271
450	0.9764049764	0.2483815849
451	0.9764049764	0.2480393924
452	0.9766909767	0.2474929913
453	0.9766909767	0.2467487352
454	0.9776919777	0.2458407534
455	0.9775489775	0.2455018281
456	0.9775489775	0.2450991564
457	0.9778349778	0.2447737735
458	0.9782639783	0.2443237719
459	0.9784069784	0.2439949059
460	0.9785499785	0.243782187
461	0.9786929787	0.2431123418
462	0.9785499785	0.2426741954
463	0.9785499785	0.242124861
464	0.9788359788	0.2412211673
465	0.9788359788	0.2409442287
466	0.9788359788	0.2406329436
467	0.978978979	0.2402874642
468	0.9792649793	0.2399779107
469	0.9794079794	0.2393602606
470	0.9794079794	0.2388363837
471	0.97997998	0.2379970205
472	0.9802659803	0.2375458655
473	0.9798369798	0.2367172205
474	0.9801229801	0.2359436611
475	0.9801229801	0.2354037629
476	0.9804089804	0.2350019773
477	0.9804089804	0.2345336592
478	0.9802659803	0.2339843955
479	0.9805519806	0.2337433825
480	0.9808379808	0.2330774113
481	0.9808379808	0.2328173143
482	0.9808379808	0.2323309367
483	0.9808379808	0.2319261097
484	0.9811239811	0.2311989404
485	0.9811239811	0.230882987
486	0.9815529816	0.2303956916
487	0.9816959817	0.2300128718
488	0.9818389818	0.2294341559
489	0.9816959817	0.2290638369
490	0.9815529816	0.2286776955
491	0.9822679823	0.22809534
492	0.9822679823	0.2273270576
493	0.9822679823	0.2269240738
494	0.9822679823	0.226295757
495	0.9822679823	0.2259909642
496	0.9822679823	0.2258309585
497	0.9824109824	0.2256419889
498	0.9821249821	0.2251935729
499	0.9822679823	0.2246871105
500	0.9825539826	0.2238310045
501	0.9826969827	0.2229233337
502	0.9826969827	0.2225469925
503	0.982982983	0.2220448872
504	0.982982983	0.2216593842
505	0.9832689833	0.221256881
506	0.9834119834	0.2207462533
507	0.9836979837	0.220007646
508	0.9838409838	0.2195543105
509	0.9838409838	0.2189324174
510	0.9838409838	0.2184205401
511	0.983983984	0.2178076784
512	0.9836979837	0.2174033091
513	0.9842699843	0.2166255753
514	0.9842699843	0.2163037206
515	0.9845559846	0.2158435129
516	0.9842699843	0.2155497373
517	0.9848419848	0.215059099
518	0.984984985	0.2149266674
519	0.984984985	0.2146077886
520	0.9851279851	0.2143081358
521	0.9854139854	0.2137499161
522	0.9855569856	0.2131482323
523	0.9855569856	0.212887824
524	0.9855569856	0.2126893847
525	0.9858429858	0.211991887
526	0.9858429858	0.2111794817
527	0.985985986	0.210912563
528	0.9858429858	0.2100861209
529	0.9858429858	0.2097251136
530	0.9858429858	0.2094464735
531	0.985985986	0.2091349014
532	0.9856999857	0.2085673315
533	0.985985986	0.208060335
534	0.985985986	0.207852051
535	0.9861289861	0.2072293372
536	0.9862719863	0.2069391515
537	0.9865579866	0.2064709716
538	0.9867009867	0.2058645534
539	0.9868439868	0.205563507
540	0.9867009867	0.2053076125
541	0.986986987	0.2047026492
542	0.9871299871	0.2043516632
543	0.9872729873	0.2040384172
544	0.9875589876	0.2034591333
545	0.9878449878	0.2028887439
546	0.9878449878	0.2024407945
547	0.9878449878	0.2022715678
548	0.9878449878	0.2020959219
549	0.9878449878	0.201830287
550	0.9875589876	0.2014863206
551	0.9878449878	0.201050293
552	0.9878449878	0.2007604098
553	0.9877019877	0.2002749626
554	0.9877019877	0.2001679763
555	0.9878449878	0.199897058
556	0.9882739883	0.1995523117
557	0.9884169884	0.1993081477
558	0.9882739883	0.1989019687
559	0.9881309881	0.198294998
560	0.9882739883	0.1978992256
561	0.9884169884	0.1975470762
562	0.9885599886	0.1971219522
563	0.9885599886	0.1969271371
564	0.9885599886	0.1959207628
565	0.9884169884	0.1955734603
566	0.9885599886	0.1952022048
567	0.9888459888	0.1949359536
568	0.988988989	0.1946632344
569	0.988988989	0.1943226744
570	0.988988989	0.1940658264
571	0.988988989	0.1937256407
572	0.988988989	0.1934272314
573	0.9891319891	0.1932051135
574	0.9895609896	0.1928168313
575	0.9895609896	0.192516807
576	0.9895609896	0.192130199
577	0.9897039897	0.191710649
578	0.9897039897	0.1914830077
579	0.9895609896	0.1910909472
580	0.9895609896	0.1904302047
581	0.9895609896	0.1898733123
582	0.9897039897	0.1896195964
583	0.9898469898	0.1892805852
584	0.98998999	0.1886649414
585	0.9901329901	0.1884367889
586	0.9904189904	0.1880006733
587	0.9902759903	0.18758578
588	0.9905619906	0.1873270246
589	0.9905619906	0.187100696
590	0.9905619906	0.1864623863
591	0.9907049907	0.1862472728
592	0.9905619906	0.1858786017
593	0.9908479908	0.1854043591
594	0.9907049907	0.1852045263
595	0.9907049907	0.1850009777
596	0.9908479908	0.1846778429
597	0.990990991	0.18421222
598	0.9911339911	0.1839655864
599	0.9908479908	0.1837638706
600	0.9911339911	0.1833786676
601	0.990990991	0.1831307954
602	0.9911339911	0.1829258653
603	0.9912769913	0.1825562495
604	0.9912769913	0.1823882658
605	0.9912769913	0.1821872823
606	0.9914199914	0.1816238748
607	0.9912769913	0.1813672988
608	0.9912769913	0.1806821462
609	0.9914199914	0.1805177858
610	0.9911339911	0.1800420324
611	0.9914199914	0.1793560328
612	0.9914199914	0.1791252854
613	0.9915629916	0.1787806407
614	0.9915629916	0.1784713145
615	0.9914199914	0.1783173973
616	0.9914199914	0.1781654403
617	0.9915629916	0.17793637
618	0.9917059917	0.1777212027
619	0.9915629916	0.1773390955
620	0.9915629916	0.1769943799
621	0.9918489918	0.1764934116
622	0.991991992	0.1762716029
623	0.991991992	0.1760958527
624	0.991991992	0.175508171
625	0.991991992	0.1752973241
626	0.9918489918	0.174860687
627	0.9918489918	0.1744094193
628	0.9918489918	0.1740984646
629	0.9922779923	0.1738068697
630	0.9921349921	0.1732411618
631	0.9921349921	0.1730815156
632	0.9918489918	0.1724728843
633	0.991991992	0.1720698463
634	0.9922779923	0.1717226077
635	0.9922779923	0.1713611945
636	0.991991992	0.1708266919
637	0.9922779923	0.1706485746
638	0.9921349921	0.1703937725
639	0.9921349921	0.1702825943
640	0.9924209924	0.1700290051
641	0.9925639926	0.1695410366
642	0.9925639926	0.1692813871
643	0.9927069927	0.1688620767
644	0.9927069927	0.168562047
